filename,repetition,participant_id,average_time_between_vocalizations,cycle_to_cycle_variability,diadochokinetic_rate,early_relative_pace_stability,late_relative_pace_stability,pace_stability,resonant_frequency_attenuation,std_time_between_vocalizations,syllable_lengths_mean,syllable_lengths_sd,average_mfccs_1,average_mfccs_2,average_mfccs_3,average_mfccs_4,alpha_ratio_mean,alpha_ratio_sd,apq11_shimmer,apq3_shimmer,apq5_shimmer,dda_shimmer,ddp_jitter,duration,f1_bandwidth_mean,f1_bandwidth_sd,f1_frequency_mean,f1_frequency_sd,f1_relative_energy_mean,f1_relative_energy_sd,f2_bandwidth_mean,f2_bandwidth_sd,f2_frequency_mean,f2_frequency_sd,f2_relative_energy_mean,f2_relative_energy_sd,f3_bandwidth_mean,f3_bandwidth_sd,f3_frequency_mean,f3_frequency_sd,f3_relative_energy_mean,f3_relative_energy_sd,h1_a3_harmonic_difference_mean,h1_a3_harmonic_difference_sd,h1_h2_harmonic_difference_mean,h1_h2_harmonic_difference_sd,hammarberg_index_mean,hammarberg_index_sd,hnr_mean,hnr_sd,local_jitter,local_absolute_jitter,local_dB_shimmer,local_shimmer,loudness_mean,loudness_sd,pause_durations_sum,pause_durations_mean,pause_durations_sd,number_of_pauses,pause_rate,ppq5_jitter,rap_jitter,rate_loudness_peaks,signal_to_noise_ratio,spectral_slope_0_500_mean,spectral_slope_0_500_sd,spectral_slope_500_1500_mean,spectral_slope_500_1500_sd,speech_ratio,utterance_durations_sum,utterance_durations_mean,utterance_durations_sd,vocal_tremor,pitch_max,pitch_min,pitch_mean,pitch_std,pitch_range,pitch_coefficient_of_variation,pitch_skewness,pitch_kurtosis,pitch_first_quartile,pitch_second_quartile,pitch_third_quartile,pitch_q2_q1_range,pitch_q3_q2_range,pitch_q3_q1_range,pitch_percentile_1,pitch_percentile_99,pitch_percentile_1_99_range,pitch_percentile_20,pitch_percentile_80,pitch_percentile_20_80_range,pitch_linear_regression_offset,pitch_linear_regression_slope,pitch_linear_regression_mse
PN502a,a,PN502,0.039314,0.014118,7.294833,135.576923,162.980769,111.235497,0.395652,0.009633,0.099111,0.010546,189.226242,1.039706,10.577562,-18.849663,13.648745,7.039475,11.308043,6.797217,9.419753,20.39165,6.14166,5.09675,266.797066,143.951037,510.066276,81.519778,-5.60854,5.622601,586.747645,279.875944,1366.17856,265.68674,-22.898783,6.964158,861.6624,416.6334,2669.393861,286.430313,-36.636664,6.535249,-24.891219,4.64887,-4.260558,3.808396,36.474327,5.47722,-30.840729,81.784275,4.146612,0.027952,146.77091,15.56536,-42.661404,4.247137,2.3,0.067647,0.013998,34,0.451268,2.665746,2.04722,13.282732,-0.002153,1.42023,2.345937,-15.682061,3.462556,0.516996,2.635,0.075286,0.031121,39.39787,164.075197,97.693553,144.585696,8.919903,66.381644,0.061693,-1.267696,3.394028,140.320346,146.221227,150.140178,5.900881,3.918951,9.819833,118.185037,159.854257,41.669219,138.972962,150.656564,11.683603,149.216415,-0.035758,72.361628
PN421a,a,PN421,0.063059,0.055273,5.247376,106.666667,135,170.977581,0.700573,0.048147,0.126171,0.012553,149.673981,-16.724976,0.133724,-4.039843,4.966821,1.859353,10.332522,3.29614,5.304046,9.88842,5.899276,6.813187,202.908679,86.042529,635.29499,86.685512,0.32784,3.86721,357.705028,289.110683,1484.539337,135.91014,-11.360571,4.988665,695.672621,424.958361,2623.184823,264.552745,-24.761633,5.080875,-22.170768,4.602165,-0.435715,2.937007,28.284541,3.885143,-102.908114,105.404696,3.466299,0.016496,111.550834,9.627313,-37.968594,7.111057,3.825,0.109286,0.052917,35,0.561411,2.414883,1.966425,12.302285,-0.00105,3.439618,2.380339,-9.814892,2.967849,0.417573,2.845,0.079028,0.011774,63.841929,233.052885,138.447337,207.677021,13.997134,94.605548,0.067399,-2.077982,5.550102,206.153407,211.363678,214.619213,5.210271,3.255535,8.465806,164.170122,228.52856,64.358438,203.722239,215.386704,11.664465,215.282022,-0.068824,176.466623
PN23_3Ra,a,PN23,0.035586,0.029754,7.09988,94.230769,94.230769,45.508306,0.077878,0.030451,0.107932,0.014609,144.191833,-17.852964,-1.028515,-6.352382,5.268921,2.096478,8.87119,5.389924,6.027045,16.169771,4.929591,8.653625,227.250515,114.321627,609.780313,76.280677,0.466399,4.295381,473.94426,275.816382,1407.708937,187.141361,-11.853277,4.251794,810.22007,516.257443,2459.985594,249.991471,-23.818325,5.369953,-20.155462,4.910975,-2.851485,3.067294,28.910469,5.115991,-95.546464,104.456686,3.020831,0.014948,112.046162,12.756174,-39.502569,9.053508,4.71,0.079831,0.042972,59,0.544281,1.574434,1.643197,15.277778,-0.000656,0.975328,2.94065,-12.062095,3.071403,0.416011,3.6,0.06,0.019664,145.481466,231.065027,89.707771,198.169015,21.919255,141.357256,0.110609,-2.007053,5.857231,191.460232,201.630658,213.775593,10.170426,12.144935,22.315361,111.430451,228.638122,117.207671,186.618616,214.398403,27.779787,223.472704,-0.188132,265.441388
PN05_3Ra,a,PN05,0.038703,0.053918,6.6313,98.75,101.25,120,0.906793,0.050254,0.104107,0.041177,171.765121,-5.920951,18.667139,6.567321,10.107415,4.699064,17.722316,5.02394,7.655122,15.071819,6.393847,12.116062,232.351714,171.643419,455.297824,115.53472,-6.046843,4.829696,497.331063,371.471339,1424.008811,245.893112,-20.855622,5.060648,614.555084,444.414374,2320.807401,334.208676,-29.296866,5.987739,-20.924742,6.157336,0.64,3.536786,29.30988,4.953186,-60.78283,99.629962,4.387608,0.039661,133.448601,14.005888,-34.186677,5.707754,5.195,0.066603,0.03367,78,0.42877,2.728896,2.131282,13.736713,-0.000663,-0.181102,2.527854,-10.890033,3.53441,0.504702,6.115,0.077405,0.063699,221.656102,142.354687,89.61306,110.45705,8.939886,52.741627,0.080935,0.277129,-0.341133,103.439445,110.203136,117.100646,6.763692,6.89751,13.661202,93.563608,132.287067,38.723459,101.613043,118.290984,16.677941,122.516996,-0.03649,31.294115
PN409a,a,PN409,0.039172,0.031429,6.550218,134.375,192.1875,398.618219,0.467508,0.029885,0.1104,0.017697,140.375153,15.254652,13.681248,-1.769891,9.707467,6.18398,8.796859,4.876868,6.936085,14.630604,4.55971,4.686,363.122749,260.281357,523.383243,192.767321,-6.569435,4.463744,465.266727,302.615129,1394.692505,287.326127,-19.763368,6.179351,614.834206,361.774527,2708.476964,290.551312,-34.469354,5.282317,-29.272579,5.010965,3.248306,2.486468,31.365821,6.991624,-69.853799,101.076555,3.301308,0.023576,125.835675,13.908117,-42.321678,7.011945,1.92,0.06,0.030619,32,0.409731,1.670147,1.519903,11.278195,-0.001442,-1.016622,2.191019,-11.093289,6.470158,0.567648,2.66,0.080606,0.021276,103.912603,150.305183,110.326171,135.135656,6.426869,39.979012,0.047559,-1.313777,3.725338,132.587876,135.535723,138.767324,2.947847,3.231602,6.179448,111.073612,148.368481,37.294869,132.04358,139.363559,7.319979,136.33746,-0.010779,40.818884
HC006_2Rb,b,HC006,0.03975,0.012952,6.375674,129.545455,125,57.495957,0.915531,0.009377,0.116185,0.013541,153.95047,0.083357,5.669018,7.260275,7.018502,4.659853,,5.031554,6.667786,15.094663,4.782675,10.443188,200.721411,126.381934,522.088512,76.415558,2.044906,3.702562,402.617466,267.266586,1424.603147,190.918439,-11.948115,5.902744,596.405146,329.978658,2422.632668,285.659579,-22.751759,7.11626,-21.075642,6.761595,3.930206,2.291545,26.156588,5.67355,-85.007408,102.696056,3.996517,0.035107,110.784451,12.003701,-32.957425,7.512014,4.76,0.073231,0.013684,65,0.4558,2.239476,1.594225,11.959522,-0.000575,1.347502,2.007998,-12.162058,3.993509,0.520435,5.435,0.082348,0.014674,154.335542,131.893157,95.126575,110.728189,6.734741,36.766582,0.060822,0.231535,0.14671,106.03091,111.058576,114.714669,5.027665,3.656093,8.683759,96.787387,128.704238,31.916851,105.165844,115.828962,10.663118,113.763665,-0.016018,42.269153
PN302b,b,PN302,0.041,0.0128,8.374384,,,,1.019113,0.007937,0.107294,0.013176,141.608154,18.653208,13.625196,13.556188,11.27937,5.882438,9.087489,6.251001,8.859163,18.753002,6.272841,3.409438,254.350986,130.867545,517.831138,82.170009,-5.604462,3.446262,302.689696,170.297508,1580.671029,94.346657,-20.372002,4.61406,443.918865,401.564741,2877.25579,156.411384,-32.057043,6.381827,-27.101933,4.224205,4.821948,3.674058,32.634712,5.908136,-86.015345,104.077699,3.888494,0.02701,131.455732,13.558888,-36.467991,5.675786,1,0.071429,0.025173,14,0.293304,2.869707,2.090947,12.621359,-0.001219,0.419745,1.905712,-14.07827,3.068519,0.302103,1.03,0.068667,0.025329,128.820317,170.861867,109.702039,141.327089,14.623928,61.159829,0.103476,-0.052286,-0.702295,129.484253,141.652193,152.183004,12.16794,10.530812,22.698752,109.886756,170.210999,60.324243,128.520522,153.245707,24.725185,156.039751,-0.323355,140.119323
HC424b,b,HC424,0.037486,0.018824,6.648199,102.5,109.166667,47.022453,0.49707,0.010078,0.115556,0.011383,163.882065,-7.846722,-17.74501,-26.134624,4.168857,1.257251,1.994338,3.90954,5.342084,11.72862,5.214511,5.71775,149.068185,176.967578,640.585346,45.303215,6.433195,2.689453,307.882622,282.853554,1321.464642,128.798858,-4.205136,2.348107,1029.295192,502.864606,2438.101675,272.565255,-22.002359,4.715065,-21.422084,5.114827,3.29091,1.912397,29.977665,4.367964,-108.510989,103.220234,3.499848,0.025402,96.924531,10.894352,-30.520686,9.285208,2.865,0.081857,0.010006,35,0.501071,2.747422,1.73817,13.72549,-0.00024,1.499966,1.617301,-12.327765,2.890167,0.44598,2.55,0.070833,0.00862,54.872238,147.857853,127.576815,137.807231,4.176013,20.281038,0.030303,-0.573413,-0.036904,135.881458,138.595795,140.588727,2.714337,1.992932,4.707269,128.095977,146.253401,18.157424,134.637768,141.304135,6.666367,138.96333,-0.018647,16.986377
PN510a,a,PN510,0.037053,0.01773,7.428571,73.404255,91.755319,80.470479,0.701779,0.008294,0.099692,0.011719,165.249313,-8.91726,16.714729,-5.948098,6.888491,2.865462,,6.513683,8.304724,19.541049,6.195437,5.528313,240.679828,113.220511,512.319144,84.229199,-3.405652,3.01029,414.345545,262.188552,1370.85337,214.06977,-15.666661,4.474675,667.668016,366.766987,2572.898311,262.08819,-28.779443,4.66886,-23.290777,4.095652,1.780549,2.058125,28.693453,4.396274,-86.713704,103.333711,5.015618,0.038434,113.68319,14.668342,-42.206552,7.645549,2.615,0.068816,0.014798,38,0.47302,2.872043,2.065146,14.421252,-0.00163,0.577688,1.810329,-12.6105,3.670786,0.476637,2.635,0.067564,0.0125,157.046933,145.970468,88.649831,128.788945,9.817762,57.320637,0.076231,-1.277727,2.411022,124.526398,130.045747,135.808838,5.519349,5.763091,11.28244,97.716441,142.723326,45.006886,122.458289,137.126092,14.667803,128.484004,0.003279,96.357124
PN422a,a,PN422,0.044066,0.0168,6.234289,155.769231,173.076923,79.103707,0.242747,0.009457,0.114839,0.010568,152.999527,5.654339,6.769338,0.197192,9.546746,3.259689,9.94995,5.166996,6.815696,15.500987,4.657925,10.061063,257.902555,119.43129,506.20188,73.026136,-3.065853,2.850516,534.999554,253.1975,1386.034615,174.486303,-19.501057,4.258687,599.116104,308.298072,2675.147621,166.916529,-32.169551,4.469487,-29.012053,5.084875,2.271116,2.567795,32.445955,4.469571,-92.424196,105.371959,3.004088,0.017457,121.233532,12.956015,-46.082911,6.420434,5.14,0.077879,0.022698,66,0.51088,1.724601,1.552642,12.903226,-0.002879,0.341051,2.324356,-14.920502,2.468672,0.477584,4.805,0.071716,0.02038,128.890365,187.3096,133.972738,169.48818,8.311609,53.336862,0.049039,-1.81283,5.479496,167.332877,170.420782,173.373885,3.087906,2.953103,6.041009,137.452417,185.527426,48.07501,166.03859,174.713316,8.674726,174.431952,-0.023768,60.896725
PN302a,a,PN302,0.050286,0.037333,8.321377,,,,0.946842,0.050905,0.100414,0.018742,145.196075,18.146709,18.34059,16.886887,9.666698,4.607421,22.136698,6.055213,10.809561,18.165639,7.419764,4.85975,295.418046,130.872783,492.937462,98.560854,-7.402642,2.645324,292.171697,220.854472,1588.950473,121.344511,-19.817133,4.313279,541.262173,416.413752,2847.018141,179.930254,-32.668566,5.071561,-26.327824,6.06752,5.75131,4.17706,32.486314,5.008772,-93.622936,105.134334,4.737661,0.035733,134.627371,15.530395,-35.053125,5.5761,2.135,0.125588,0.089177,17,0.439323,3.176702,2.473255,13.333333,-0.000923,-0.56551,1.830274,-12.682254,2.463796,0.277792,1.35,0.075,0.082647,727.384861,156.277624,97.322498,128.456071,13.383564,58.955126,0.104188,-0.142105,-0.400376,120.000246,127.237473,138.628954,7.237226,11.391481,18.628708,98.250909,151.748145,53.497236,119.191841,141.292509,22.100668,142.584341,-0.212455,111.58323
HC115b,b,HC115,0.04958,0.0398,6.588992,160.714286,158.571429,244.210515,0.48055,0.038509,0.103024,0.012009,166.964966,-10.665407,10.585228,1.187489,4.415849,1.836737,,4.09307,,12.279211,5.606977,12.610687,315.26678,162.968332,592.583574,118.500976,-3.449457,4.627563,414.547293,274.801524,1436.986504,203.642738,-11.237864,5.227795,549.793908,319.813554,2440.651952,252.857853,-21.474047,4.63801,-17.776802,4.333291,4.080044,2.791322,24.233791,4.523642,-131.062536,95.605616,7.383919,0.088495,128.462028,13.924682,-41.382123,9.056056,7.425,0.091667,0.03926,81,0.588786,,1.868992,16.135458,-0.001197,-1.812211,1.35659,-10.642033,3.267301,0.398075,5.02,0.06122,0.015353,428.615939,143.928776,64.18733,81.124288,11.221225,79.741446,0.138321,1.870353,7.808222,72.693708,80.530449,87.253239,7.836741,6.72279,14.559531,65.809054,119.668652,53.859598,71.49549,87.841158,16.345668,89.977309,-0.081972,99.548662
